Noodle Type;Country of Origin;Cooking Time
Ramen;Japan;5 minutes
Udon;Japan;10 minutes
Soba;Japan;5 minutes
Rice noodle;China;3 minutes
Egg noodle;China;4 minutes
Instant noodle;USA;8 minutes
Spaghetti;Italy;9 minutes
Fettuccine;Italy;12 minutes
Tagliatelle;Italy;10 minutes
Pho;Vietnam;6 minutes
Pad Thai;Thailand;7 minutes
Bucatini;Italy;9 minutes
Penne;Italy;10 minutes
Pappardelle;Italy;11 minutes
Linguine;Italy;8 minutes
Lasagne;Italy;30 minutes
Ditalini;Italy;10 minutes
Macaroni;USA;9 minutes
Orzo;Greece;10 minutes
Couscous;Morocco;5 minutes
Rigatoni;Italy;13 minutes
Farfalle;Italy;14 minutes
Fusilli;Italy;12 minutes
Cannelloni;Italy;40 minutes
Gnocchi;Italy;2 minutes
